budget_total;Value;data
462;IMP_display_hienz_budget;13.4563785401261
463;IMP_display_hienz_budget;13.4471432197215
464;IMP_display_hienz_budget;13.4404199919586
465;IMP_display_hienz_budget;13.4288355687373
466;IMP_display_hienz_budget;13.4245413555177
467;IMP_display_hienz_budget;13.4113943948658
468;IMP_display_hienz_budget;13.4000096977265
469;IMP_display_hienz_budget;13.3918533302049
470;IMP_display_hienz_budget;13.3898549692247
471;IMP_display_hienz_budget;13.3817204376514
472;IMP_display_hienz_budget;13.3734829543751
473;IMP_display_hienz_budget;13.3638316865385
474;IMP_display_hienz_budget;13.358066879465
475;IMP_display_hienz_budget;13.3488308134747
476;IMP_display_hienz_budget;13.3413369637252
477;IMP_display_hienz_budget;13.3339337345912
478;IMP_display_hienz_budget;13.3257429919106
479;IMP_display_hienz_budget;13.317617685872
480;IMP_display_hienz_budget;13.3118035386093
481;IMP_display_hienz_budget;13.3021736472659
482;IMP_display_hienz_budget;13.2955329821553
483;IMP_display_hienz_budget;13.2865301064153
484;IMP_display_hienz_budget;13.2811293825058
485;IMP_display_hienz_budget;13.2724976299606
486;IMP_display_hienz_budget;13.2633150117999
487;IMP_display_hienz_budget;13.2587497028032
488;IMP_display_hienz_budget;13.2520926949437
489;IMP_display_hienz_budget;13.2374270564476
490;IMP_display_hienz_budget;13.2312261931869
491;IMP_display_hienz_budget;13.225739604888
492;IMP_display_hienz_budget;13.2155061585366
493;IMP_display_hienz_budget;13.2082022002755
494;IMP_display_hienz_budget;13.2031001786722
495;IMP_display_hienz_budget;13.1948067911195
496;IMP_display_hienz_budget;13.1886625028138
497;IMP_display_hienz_budget;13.1800651715565
498;IMP_display_hienz_budget;13.1732098476541
499;IMP_display_hienz_budget;13.1663412224449
500;IMP_display_hienz_budget;13.159520050684
501;IMP_display_hienz_budget;13.1516525739043
502;IMP_display_hienz_budget;13.1379784212639
503;IMP_display_hienz_budget;13.1330237554672
504;IMP_display_hienz_budget;13.1335315704868
505;IMP_display_hienz_budget;13.1234732093813
506;IMP_display_hienz_budget;13.1167257144756
507;IMP_display_hienz_budget;13.1080740921851
508;IMP_display_hienz_budget;13.1020881383111
509;IMP_display_hienz_budget;13.094885942511
510;IMP_display_hienz_budget;13.0916938483423
511;IMP_display_hienz_budget;13.081599665783
512;IMP_display_hienz_budget;13.0680058450262
513;IMP_display_hienz_budget;13.066044539961
514;IMP_display_hienz_budget;13.0589494214168
515;IMP_display_hienz_budget;13.0558239043473
516;IMP_display_hienz_budget;13.051973972195
517;IMP_display_hienz_budget;13.0437065659743
518;IMP_display_hienz_budget;13.0327277982214
519;IMP_display_hienz_budget;13.0247871281715
520;IMP_display_hienz_budget;13.0072174841151
521;IMP_display_hienz_budget;13.0083582418426
522;IMP_display_hienz_budget;13.0132772198079
523;IMP_display_hienz_budget;12.99964894413
524;IMP_display_hienz_budget;12.9905682836074
525;IMP_display_hienz_budget;12.9968265247998
526;IMP_display_hienz_budget;12.9717511656459
527;IMP_display_hienz_budget;12.9673895448381
528;IMP_display_hienz_budget;12.9692254240679
529;IMP_display_hienz_budget;12.9617604203948
530;IMP_display_hienz_budget;12.9587071175394
531;IMP_display_hienz_budget;12.9530051368129
532;IMP_display_hienz_budget;12.933723153406
533;IMP_display_hienz_budget;12.9316112181213
534;IMP_display_hienz_budget;12.9268787720197
535;IMP_display_hienz_budget;12.9220666270712
536;IMP_display_hienz_budget;12.9136474523945
537;IMP_display_hienz_budget;12.905056384033
538;IMP_display_hienz_budget;12.9015617551265
539;IMP_display_hienz_budget;12.8936563615419
540;IMP_display_hienz_budget;12.8895702470124
541;IMP_display_hienz_budget;12.885320287164
542;IMP_display_hienz_budget;12.8785279630996
543;IMP_display_hienz_budget;12.8736400052327
544;IMP_display_hienz_budget;12.8670777766814
545;IMP_display_hienz_budget;12.8605691846661
546;IMP_display_hienz_budget;12.8539720730247
547;IMP_display_hienz_budget;12.8479097209971
548;IMP_display_hienz_budget;12.8417596899655
549;IMP_display_hienz_budget;12.8357171749123
550;IMP_display_hienz_budget;12.829685195012
551;IMP_display_hienz_budget;12.824121722323
552;IMP_display_hienz_budget;12.8175146718692
553;IMP_display_hienz_budget;12.8112210888393
554;IMP_display_hienz_budget;12.8049526157546
555;IMP_display_hienz_budget;12.7986346925407
556;IMP_display_hienz_budget;12.792251182763
557;IMP_display_hienz_budget;12.788339607511
558;IMP_display_hienz_budget;12.7817007975314
559;IMP_display_hienz_budget;12.7745433465913
560;IMP_display_hienz_budget;12.769378312272
561;IMP_display_hienz_budget;12.7656632972655
562;IMP_display_hienz_budget;12.7590347651246
563;IMP_display_hienz_budget;12.7559157051146
564;IMP_display_hienz_budget;12.7489191234353
565;IMP_display_hienz_budget;12.7435956982128
566;IMP_display_hienz_budget;12.7379675289101
567;IMP_display_hienz_budget;12.7335930928007
568;IMP_display_hienz_budget;12.7255394911972
569;IMP_display_hienz_budget;12.7217836375142
570;IMP_display_hienz_budget;12.718668745614
571;IMP_display_hienz_budget;12.7134768084389
572;IMP_display_hienz_budget;12.7019262816624
573;IMP_display_hienz_budget;12.6965838067259
574;IMP_display_hienz_budget;12.6910592277808
575;IMP_display_hienz_budget;12.6852531204412
576;IMP_display_hienz_budget;12.6761600785651
577;IMP_display_hienz_budget;12.6673352835702
578;IMP_display_hienz_budget;12.6614992510841
579;IMP_display_hienz_budget;12.6685028516868
580;IMP_display_hienz_budget;12.6627370155172
581;IMP_display_hienz_budget;12.6547280311776
582;IMP_display_hienz_budget;12.6492771993127
583;IMP_display_hienz_budget;12.6439811766724
584;IMP_display_hienz_budget;12.6388562024686
585;IMP_display_hienz_budget;12.6339126076832
586;IMP_display_hienz_budget;12.6291565955455
587;IMP_display_hienz_budget;12.6245910225766
588;IMP_display_hienz_budget;12.6202149562116
589;IMP_display_hienz_budget;12.6160218196213
590;IMP_display_hienz_budget;12.6119940745763
