;IMP_display_hienz_budget;IMP_olv_hienz_budget;IMP_agents_budget;IMP_social_hienz_budget;TV_hienz_grp;TV_sponsor_hienz_grp;Investment;IMP_display_hienz_budget_ROAS;IMP_olv_hienz_budget_ROAS;IMP_agents_budget_ROAS;IMP_social_hienz_budget_ROAS;TV_hienz_grp_ROAS;TV_sponsor_hienz_grp_ROAS
324;587.8432711;836.2777339;646.6275982;607.4380468;887.9622411;707.4071589;324000000;-30.07836444;94.13886694;-0.686200881;-20.28097658;119.9811206;29.70357947
325;588.1947433;837.0020909;647.0142176;607.8012347;890.0734179;707.6869088;325000000;-30.90262836;93.50104543;-1.492891193;-21.09938263;120.0367089;28.8434544
326;588.5432987;837.7216349;647.3976285;608.1614086;892.1813418;707.9638457;326000000;-31.72835066;92.86081744;-2.301185726;-21.91929568;120.0906709;27.98192286
327;588.8889615;838.4363979;647.7778577;608.5185936;894.2860181;708.237998;327000000;-32.55551924;92.21819893;-3.111071166;-22.74070322;120.143009;27.11899899
328;589.2317558;839.1464116;648.1549314;608.8728143;896.3874515;708.5093936;328000000;-33.3841221;91.57320581;-3.922534312;-23.56359284;120.1937258;26.25469679
329;589.5717053;839.8517077;648.5288759;609.2240955;898.4856472;708.7780603;329000000;-34.21414734;90.92585385;-4.735562069;-24.38795225;120.2428236;25.38903013
330;589.9088337;840.5523174;648.8997171;609.5724615;900.5806102;709.0440254;330000000;-35.04558314;90.27615872;-5.550141455;-25.21376924;120.2903051;24.52201271
331;590.2431644;841.248272;649.2674808;609.9179365;902.6723454;709.3073163;331000000;-35.87841781;89.624136;-6.366259592;-26.04103174;120.3361727;23.65365813
332;590.5747205;841.9396023;649.6321926;610.2605445;904.7608577;709.5679596;332000000;-36.71263974;88.96980114;-7.183903711;-26.86972773;120.3804289;22.78397982
333;590.9035252;842.626339;649.9938777;610.6003094;906.8461522;709.8259822;333000000;-37.54823741;88.31316951;-8.003061148;-27.69984532;120.4230761;21.91299111
334;591.2296012;843.3085127;650.3525613;610.9372546;908.9282339;710.0814103;334000000;-38.3851994;87.65425637;-8.823719344;-28.53137272;120.4641169;21.04070516
